,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster,id,title,artist
56,0.773,0.8,10,-3.17,0,0.0987,0.0613,0.00403,0.0327,0.8420000000000001,89.988,184507,4,0,2dl5K2ScW7jYhAhuem06cm,PROBLEMA,Daddy Yankee
57,0.773,0.8,10,-3.17,0,0.0987,0.0613,0.00403,0.0327,0.8420000000000001,89.988,184507,4,0,2dl5K2ScW7jYhAhuem06cm,PROBLEMA,Daddy Yankee
58,0.7879999999999999,0.7709999999999999,0,-4.048,1,0.0562,0.0452,0.0,0.10300000000000001,0.785,91.945,169560,4,0,5iF33sXejXwfTuidVHMll0,Canción Bonita,Carlos Vives
59,0.7879999999999999,0.7709999999999999,0,-4.048,1,0.0562,0.0452,0.0,0.10300000000000001,0.785,91.945,169560,4,0,5iF33sXejXwfTuidVHMll0,Canción Bonita,Carlos Vives
60,0.7879999999999999,0.7709999999999999,0,-4.048,1,0.0562,0.0452,0.0,0.10300000000000001,0.785,91.945,169560,4,0,5iF33sXejXwfTuidVHMll0,Canción Bonita,Carlos Vives
61,0.664,0.659,10,-4.232,0,0.0873,0.0625,0.00023999999999999998,0.0874,0.797,175.826,157320,4,0,5KFHrrBMyGj5MhVbZMM3ts,Tu Veneno,J Balvin
62,0.664,0.659,10,-4.232,0,0.0873,0.0625,0.00023999999999999998,0.0874,0.797,175.826,157320,4,0,5KFHrrBMyGj5MhVbZMM3ts,Tu Veneno,J Balvin
63,0.664,0.659,10,-4.232,0,0.0873,0.0625,0.00023999999999999998,0.0874,0.797,175.826,157320,4,0,5KFHrrBMyGj5MhVbZMM3ts,Tu Veneno,J Balvin
64,0.664,0.659,10,-4.232,0,0.0873,0.0625,0.00023999999999999998,0.0874,0.797,175.826,157320,4,0,5KFHrrBMyGj5MhVbZMM3ts,Tu Veneno,J Balvin
65,0.85,0.541,2,-4.522,1,0.0674,0.161,5.01e-06,0.28600000000000003,0.9159999999999999,92.00299999999999,165275,4,0,0cOa970mzTWAxKtltpkpLc,Miénteme,TINI
66,0.85,0.541,2,-4.522,1,0.0674,0.161,5.01e-06,0.28600000000000003,0.9159999999999999,92.00299999999999,165275,4,0,0cOa970mzTWAxKtltpkpLc,Miénteme,TINI
67,0.7390000000000001,0.7879999999999999,1,-5.1979999999999995,1,0.0731,0.0513,0.0,0.282,0.473,175.99599999999998,324426,4,0,0VWLId2RwPCno9s1cJm2Vy,Travesuras - Remix,Nio Garcia
68,0.7390000000000001,0.7879999999999999,1,-5.1979999999999995,1,0.0731,0.0513,0.0,0.282,0.473,175.99599999999998,324426,4,0,0VWLId2RwPCno9s1cJm2Vy,Travesuras - Remix,Nio Garcia
69,0.7390000000000001,0.7879999999999999,1,-5.1979999999999995,1,0.0731,0.0513,0.0,0.282,0.473,175.99599999999998,324426,4,0,0VWLId2RwPCno9s1cJm2Vy,Travesuras - Remix,Nio Garcia
70,0.7859999999999999,0.899,10,-0.515,1,0.127,0.192,0.00018899999999999999,0.299,0.813,90.025,216510,4,0,5u7twkeask1VIyDeNTElSU,Sal y Perrea,Sech
71,0.7859999999999999,0.899,10,-0.515,1,0.127,0.192,0.00018899999999999999,0.299,0.813,90.025,216510,4,0,5u7twkeask1VIyDeNTElSU,Sal y Perrea,Sech
72,0.7859999999999999,0.899,10,-0.515,1,0.127,0.192,0.00018899999999999999,0.299,0.813,90.025,216510,4,0,5u7twkeask1VIyDeNTElSU,Sal y Perrea,Sech
73,0.741,0.5579999999999999,11,-6.029,0,0.22899999999999998,0.306,0.000327,0.1,0.265,179.972,188955,4,0,0iWxrdjwEGOrTC9AszgAJk,Viendo el Techo,Jay Wheeler
74,0.741,0.5579999999999999,11,-6.029,0,0.22899999999999998,0.306,0.000327,0.1,0.265,179.972,188955,4,0,0iWxrdjwEGOrTC9AszgAJk,Viendo el Techo,Jay Wheeler
75,0.741,0.5579999999999999,11,-6.029,0,0.22899999999999998,0.306,0.000327,0.1,0.265,179.972,188955,4,0,0iWxrdjwEGOrTC9AszgAJk,Viendo el Techo,Jay Wheeler
76,0.725,0.7559999999999999,4,-5.013,1,0.0572,0.36200000000000004,0.000685,0.10300000000000001,0.828,100.07,186133,4,0,3VvA1wSxukMLsvXoXtlwWx,Hecha Pa' Mi,Boza
77,0.725,0.7559999999999999,4,-5.013,1,0.0572,0.36200000000000004,0.000685,0.10300000000000001,0.828,100.07,186133,4,0,3VvA1wSxukMLsvXoXtlwWx,Hecha Pa' Mi,Boza
78,0.725,0.7559999999999999,4,-5.013,1,0.0572,0.36200000000000004,0.000685,0.10300000000000001,0.828,100.07,186133,4,0,3VvA1wSxukMLsvXoXtlwWx,Hecha Pa' Mi,Boza
79,0.725,0.7559999999999999,4,-5.013,1,0.0572,0.36200000000000004,0.000685,0.10300000000000001,0.828,100.07,186133,4,0,3VvA1wSxukMLsvXoXtlwWx,Hecha Pa' Mi,Boza
80,0.818,0.6729999999999999,4,-7.542000000000001,0,0.14800000000000002,0.348,0.0,0.172,0.695,87.961,193636,4,0,5jzEwSyyymBlf1fa1o39T2,512,Mora
81,0.818,0.6729999999999999,4,-7.542000000000001,0,0.14800000000000002,0.348,0.0,0.172,0.695,87.961,193636,4,0,5jzEwSyyymBlf1fa1o39T2,512,Mora
82,0.818,0.6729999999999999,4,-7.542000000000001,0,0.14800000000000002,0.348,0.0,0.172,0.695,87.961,193636,4,0,5jzEwSyyymBlf1fa1o39T2,512,Mora
83,0.82,0.804,9,-7.226,1,0.0528,0.175,0.00215,0.064,0.8440000000000001,110.98200000000001,211998,4,0,6mm3K0yWp6uzfOMuipM9Zh,Tan Bonita,Piso 21
84,0.82,0.804,9,-7.226,1,0.0528,0.175,0.00215,0.064,0.8440000000000001,110.98200000000001,211998,4,0,6mm3K0yWp6uzfOMuipM9Zh,Tan Bonita,Piso 21
85,0.653,0.524,11,-9.016,0,0.0502,0.11199999999999999,0.0,0.203,0.5529999999999999,83.97,160191,4,0,6tDDoYIxWvMLTdKpjFkc1B,telepatía,Kali Uchis
86,0.653,0.524,11,-9.016,0,0.0502,0.11199999999999999,0.0,0.203,0.5529999999999999,83.97,160191,4,0,6tDDoYIxWvMLTdKpjFkc1B,telepatía,Kali Uchis
87,0.653,0.524,11,-9.016,0,0.0502,0.11199999999999999,0.0,0.203,0.5529999999999999,83.97,160191,4,0,6tDDoYIxWvMLTdKpjFkc1B,telepatía,Kali Uchis
88,0.8240000000000001,0.8370000000000001,5,-4.603,1,0.107,0.573,1.66e-05,0.271,0.58,100.021,289933,4,0,2mM3gZ0BbPwPPMelbA8vgt,No Te Enamores - Remix,Milly
89,0.8240000000000001,0.8370000000000001,5,-4.603,1,0.107,0.573,1.66e-05,0.271,0.58,100.021,289933,4,0,2mM3gZ0BbPwPPMelbA8vgt,No Te Enamores - Remix,Milly
90,0.823,0.772,0,-4.935,1,0.0591,0.243,0.0,0.11800000000000001,0.5820000000000001,96.001,230728,4,0,70uX4beGHc1nQikXveOknp,Mala Costumbre,Manuel Turizo
91,0.823,0.772,0,-4.935,1,0.0591,0.243,0.0,0.11800000000000001,0.5820000000000001,96.001,230728,4,0,70uX4beGHc1nQikXveOknp,Mala Costumbre,Manuel Turizo
92,0.752,0.8190000000000001,0,-2.84,1,0.0721,0.14300000000000002,0.000458,0.332,0.638,175.99599999999998,235227,4,0,7AKFB1pntnYpXYII0mlh0m,En Mi Habitación,Los Legendarios
93,0.852,0.852,8,-3.4760000000000004,0,0.0444,0.574,0.000103,0.326,0.8809999999999999,143.952,203933,4,0,2IViAyalheAvrT9ErMCABT,EL BARCO,KAROL G
94,0.585,0.611,6,-4.132,1,0.28800000000000003,0.39,0.0,0.649,0.9620000000000001,97.041,218107,4,0,5YYW3yRktprLRr47WK219Y,Ella No Es Tuya - Remix,Rochy RD
95,0.585,0.611,6,-4.132,1,0.28800000000000003,0.39,0.0,0.649,0.9620000000000001,97.041,218107,4,0,5YYW3yRktprLRr47WK219Y,Ella No Es Tuya - Remix,Rochy RD
96,0.664,0.665,10,-3.616,1,0.0879,0.12300000000000001,0.0,0.41100000000000003,0.726,173.96099999999998,176970,4,0,41BzKiCrKpUQHS3TP0jmdr,Agua de Jamaica,Maluma
97,0.664,0.665,10,-3.616,1,0.0879,0.12300000000000001,0.0,0.41100000000000003,0.726,173.96099999999998,176970,4,0,41BzKiCrKpUQHS3TP0jmdr,Agua de Jamaica,Maluma
98,0.664,0.665,10,-3.616,1,0.0879,0.12300000000000001,0.0,0.41100000000000003,0.726,173.96099999999998,176970,4,0,41BzKiCrKpUQHS3TP0jmdr,Agua de Jamaica,Maluma
99,0.8170000000000001,0.737,6,-5.452999999999999,0,0.102,0.046,1.57e-05,0.092,0.67,93.985,206587,4,0,73O30uMI7n6DuzBmbtO7kC,Antes,Anuel AA
100,0.8109999999999999,0.794,7,-7.202000000000001,1,0.21600000000000003,0.205,5.63e-06,0.667,0.872,99.94200000000001,281853,4,0,7G1o084VGIPA5TAbUSgADQ,Te Va Bien (with Arcangel & Becky G feat. Darell),KEVVO
101,0.8109999999999999,0.794,7,-7.202000000000001,1,0.21600000000000003,0.205,5.63e-06,0.667,0.872,99.94200000000001,281853,4,0,7G1o084VGIPA5TAbUSgADQ,Te Va Bien (with Arcangel & Becky G feat. Darell),KEVVO
102,0.731,0.573,4,-10.059,0,0.0544,0.401,5.22e-05,0.113,0.145,109.928,205090,4,1,47EiUVwUp4C9fGccaPuUCS,DÁKITI,Bad Bunny
103,0.731,0.573,4,-10.059,0,0.0544,0.401,5.22e-05,0.113,0.145,109.928,205090,4,1,47EiUVwUp4C9fGccaPuUCS,DÁKITI,Bad Bunny
104,0.772,0.758,9,-3.891,1,0.0482,0.0433,0.0,0.295,0.654,115.977,265240,4,0,5Km4r87BoX2qqtoprYS1gh,LOCATION,KAROL G
105,0.772,0.758,9,-3.891,1,0.0482,0.0433,0.0,0.295,0.654,115.977,265240,4,0,5Km4r87BoX2qqtoprYS1gh,LOCATION,KAROL G
106,0.922,0.927,11,-3.025,1,0.105,0.28300000000000003,0.00331,0.7190000000000001,0.7959999999999999,129.97799999999998,219000,4,0,2L95U6syP0bV3fkYYOzmiW,La Mamá de la Mamá,El Alfa
107,0.922,0.927,11,-3.025,1,0.105,0.28300000000000003,0.00331,0.7190000000000001,0.7959999999999999,129.97799999999998,219000,4,0,2L95U6syP0bV3fkYYOzmiW,La Mamá de la Mamá,El Alfa
108,0.8390000000000001,0.706,7,-5.629,0,0.0728,0.264,1.23e-06,0.106,0.462,92.031,147120,4,0,4jOBQxq4Ffd8DDrsN4wPOR,Christian Dior,Jhay Cortez
109,0.8390000000000001,0.706,7,-5.629,0,0.0728,0.264,1.23e-06,0.106,0.462,92.031,147120,4,0,4jOBQxq4Ffd8DDrsN4wPOR,Christian Dior,Jhay Cortez
110,0.8390000000000001,0.706,7,-5.629,0,0.0728,0.264,1.23e-06,0.106,0.462,92.031,147120,4,0,4jOBQxq4Ffd8DDrsN4wPOR,Christian Dior,Jhay Cortez
111,0.775,0.645,6,-5.236000000000001,1,0.067,0.212,0.0,0.127,0.723,90.01700000000001,197313,4,0,6ZUGi3v66aBs8kLxJ8DsO1,Codigo Secreto,vf7
