,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,title,artist
1321,0.425,0.874,0,-3.097,1,0.0409,0.596,4.18e-06,0.115,0.814,164.127,audio_features,3AjxOdecZ2eKDL0aOtcYsJ,spotify:track:3AjxOdecZ2eKDL0aOtcYsJ,https://api.spotify.com/v1/tracks/3AjxOdecZ2eKDL0aOtcYsJ,https://api.spotify.com/v1/audio-analysis/3AjxOdecZ2eKDL0aOtcYsJ,279360,4,Cambio de Piel,Marc Anthony
1322,0.645,0.665,7,-5.519,0,0.0384,0.581,0.0,0.0391,0.369,94.115,audio_features,1N3G6QQfF0579fHoFQmMzi,spotify:track:1N3G6QQfF0579fHoFQmMzi,https://api.spotify.com/v1/tracks/1N3G6QQfF0579fHoFQmMzi,https://api.spotify.com/v1/audio-analysis/1N3G6QQfF0579fHoFQmMzi,414707,4,El Gran Varon,Willie Colón
1323,0.699,0.846,7,-3.647,1,0.0321,0.518,0.0,0.0436,0.93,92.159,audio_features,0wchJhFHcNw9fVGbsV20CB,spotify:track:0wchJhFHcNw9fVGbsV20CB,https://api.spotify.com/v1/tracks/0wchJhFHcNw9fVGbsV20CB,https://api.spotify.com/v1/audio-analysis/0wchJhFHcNw9fVGbsV20CB,218400,4,Cuando Tus Ojos Me Miran,Victor Waill
1324,0.803,0.703,7,-7.58,1,0.0365,0.566,0.00066,0.0711,0.875,99.426,audio_features,2jIeTDKCMcpyEzR3KCnIfW,spotify:track:2jIeTDKCMcpyEzR3KCnIfW,https://api.spotify.com/v1/tracks/2jIeTDKCMcpyEzR3KCnIfW,https://api.spotify.com/v1/audio-analysis/2jIeTDKCMcpyEzR3KCnIfW,332493,4,Uno Se Cura,Raulin Rosendo
1325,0.597,0.86,7,-9.488,1,0.0496,0.207,1.87e-05,0.089,0.908,170.475,audio_features,0vGEHf4yeVN0sn8IwY1HW4,spotify:track:0vGEHf4yeVN0sn8IwY1HW4,https://api.spotify.com/v1/tracks/0vGEHf4yeVN0sn8IwY1HW4,https://api.spotify.com/v1/audio-analysis/0vGEHf4yeVN0sn8IwY1HW4,284767,4,Por Retenerte,Los Titanes
1326,0.724,0.729,9,-4.649,0,0.0333,0.15,0.00109,0.121,0.824,149.827,audio_features,49qCDkKKvPxRVhABsgXES5,spotify:track:49qCDkKKvPxRVhABsgXES5,https://api.spotify.com/v1/tracks/49qCDkKKvPxRVhABsgXES5,https://api.spotify.com/v1/audio-analysis/49qCDkKKvPxRVhABsgXES5,278573,4,Repica el Tambó,Sonora Carruseles
1327,0.506,0.763,7,-4.228,1,0.0352,0.683,0.0,0.137,0.886,84.435,audio_features,5lddLjDy5knLAEeYwCcWl7,spotify:track:5lddLjDy5knLAEeYwCcWl7,https://api.spotify.com/v1/tracks/5lddLjDy5knLAEeYwCcWl7,https://api.spotify.com/v1/audio-analysis/5lddLjDy5knLAEeYwCcWl7,217534,4,Probablemente,Yiyo Sarante
1328,0.64,0.874,2,-2.806,1,0.0591,0.187,0.0,0.116,0.556,189.865,audio_features,4nYuL6R1SuWAOJRwAWasct,spotify:track:4nYuL6R1SuWAOJRwAWasct,https://api.spotify.com/v1/tracks/4nYuL6R1SuWAOJRwAWasct,https://api.spotify.com/v1/audio-analysis/4nYuL6R1SuWAOJRwAWasct,216627,4,Mira - Versión Salsa,Jerry Rivera
1329,0.837,0.649,5,-7.36,0,0.0529,0.436,0.0,0.0856,0.875,84.252,audio_features,588fZDQv1c7F3iP68Pp3My,spotify:track:588fZDQv1c7F3iP68Pp3My,https://api.spotify.com/v1/tracks/588fZDQv1c7F3iP68Pp3My,https://api.spotify.com/v1/audio-analysis/588fZDQv1c7F3iP68Pp3My,344627,4,Como Te Hago Entender,Roberto Roena Y Su Apollo Sound
1330,0.732,0.827,4,-3.847,0,0.0499,0.27,1.43e-06,0.203,0.627,92.697,audio_features,07wgpM7gK7K1u68grjWnxo,spotify:track:07wgpM7gK7K1u68grjWnxo,https://api.spotify.com/v1/tracks/07wgpM7gK7K1u68grjWnxo,https://api.spotify.com/v1/audio-analysis/07wgpM7gK7K1u68grjWnxo,249160,4,Viene y Se Va,Mauro Castillo
1331,0.767,0.835,4,-3.523,0,0.0357,0.222,0.0,0.288,0.785,99.007,audio_features,1e9UJYNOEHIKopE7F8BBYc,spotify:track:1e9UJYNOEHIKopE7F8BBYc,https://api.spotify.com/v1/tracks/1e9UJYNOEHIKopE7F8BBYc,https://api.spotify.com/v1/audio-analysis/1e9UJYNOEHIKopE7F8BBYc,237728,4,Vengo (Salsa Version),Rey Ruiz
1332,0.623,0.825,0,-6.756,1,0.065,0.566,0.0,0.114,0.852,91.303,audio_features,3LqJQ31Hb5Q0xZMDCx0eaD,spotify:track:3LqJQ31Hb5Q0xZMDCx0eaD,https://api.spotify.com/v1/tracks/3LqJQ31Hb5Q0xZMDCx0eaD,https://api.spotify.com/v1/audio-analysis/3LqJQ31Hb5Q0xZMDCx0eaD,245693,4,Cuando Se Juega Con Fuego,Luis Enrique
1333,0.843,0.768,7,-4.137,0,0.0436,0.38,0.0,0.0359,0.939,92.458,audio_features,44lQ19i8P8jCFVaB5MaPfH,spotify:track:44lQ19i8P8jCFVaB5MaPfH,https://api.spotify.com/v1/tracks/44lQ19i8P8jCFVaB5MaPfH,https://api.spotify.com/v1/audio-analysis/44lQ19i8P8jCFVaB5MaPfH,283973,4,Yo Sin Ti,Pete Perignon
1334,0.733,0.685,5,-13.847,1,0.0412,0.725,7.97e-06,0.0775,0.937,109.629,audio_features,39da1f3Egp1zVcTtH3sFZZ,spotify:track:39da1f3Egp1zVcTtH3sFZZ,https://api.spotify.com/v1/tracks/39da1f3Egp1zVcTtH3sFZZ,https://api.spotify.com/v1/audio-analysis/39da1f3Egp1zVcTtH3sFZZ,329067,4,Disco Azúcar,Juan Formell y Los Van Van
