,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
30,0.627,0.675,5,-7.125,0,0.213,0.125,0.0,0.0784,0.961,79.31,audio_features,7hynhxDoDpgMIV12JuVtNa,spotify:track:7hynhxDoDpgMIV12JuVtNa,https://api.spotify.com/v1/tracks/7hynhxDoDpgMIV12JuVtNa,https://api.spotify.com/v1/audio-analysis/7hynhxDoDpgMIV12JuVtNa,277107,4
31,0.788,0.745,11,-4.417,0,0.0448,0.352,4.56e-05,0.0973,0.79,94.002,audio_features,62vDrkBEyJYEOFj1ScBqM7,spotify:track:62vDrkBEyJYEOFj1ScBqM7,https://api.spotify.com/v1/tracks/62vDrkBEyJYEOFj1ScBqM7,https://api.spotify.com/v1/audio-analysis/62vDrkBEyJYEOFj1ScBqM7,190160,4
32,0.839,0.706,7,-5.629,0,0.0728,0.264,1.23e-06,0.106,0.462,92.031,audio_features,4jOBQxq4Ffd8DDrsN4wPOR,spotify:track:4jOBQxq4Ffd8DDrsN4wPOR,https://api.spotify.com/v1/tracks/4jOBQxq4Ffd8DDrsN4wPOR,https://api.spotify.com/v1/audio-analysis/4jOBQxq4Ffd8DDrsN4wPOR,147120,4
33,0.816,0.747,8,-6.468,0,0.0411,0.102,0.0,0.263,0.848,97.019,audio_features,6z5Xrx58p5Bs18RIe6KXbI,spotify:track:6z5Xrx58p5Bs18RIe6KXbI,https://api.spotify.com/v1/tracks/6z5Xrx58p5Bs18RIe6KXbI,https://api.spotify.com/v1/audio-analysis/6z5Xrx58p5Bs18RIe6KXbI,210933,4
34,0.794,0.882,1,-5.589,1,0.0361,0.114,7.98e-05,0.062,0.642,117.009,audio_features,00hdjyXt6MohKnCyDmhxOL,spotify:track:00hdjyXt6MohKnCyDmhxOL,https://api.spotify.com/v1/tracks/00hdjyXt6MohKnCyDmhxOL,https://api.spotify.com/v1/audio-analysis/00hdjyXt6MohKnCyDmhxOL,188213,4
35,0.796,0.911,1,-1.998,1,0.285,0.188,0.0,0.499,0.918,180.128,audio_features,2YRvdf9cdS88y1wB1WhKoE,spotify:track:2YRvdf9cdS88y1wB1WhKoE,https://api.spotify.com/v1/tracks/2YRvdf9cdS88y1wB1WhKoE,https://api.spotify.com/v1/audio-analysis/2YRvdf9cdS88y1wB1WhKoE,204631,4
36,0.885,0.68,11,-3.837,0,0.0848,0.131,1.77e-05,0.0875,0.78,97.003,audio_features,35KmOEIUqAGn02t7n4qaIr,spotify:track:35KmOEIUqAGn02t7n4qaIr,https://api.spotify.com/v1/tracks/35KmOEIUqAGn02t7n4qaIr,https://api.spotify.com/v1/audio-analysis/35KmOEIUqAGn02t7n4qaIr,200267,4
37,0.81,0.862,8,-6.526,0,0.14,0.0227,3.21e-06,0.203,0.963,115.949,audio_features,1KYspqFoBXRcAs89HSekKM,spotify:track:1KYspqFoBXRcAs89HSekKM,https://api.spotify.com/v1/tracks/1KYspqFoBXRcAs89HSekKM,https://api.spotify.com/v1/audio-analysis/1KYspqFoBXRcAs89HSekKM,288522,4
38,0.655,0.797,2,-4.787,1,0.153,0.198,0.0,0.067,0.839,177.928,audio_features,6habFhsOp2NvshLv26DqMb,spotify:track:6habFhsOp2NvshLv26DqMb,https://api.spotify.com/v1/tracks/6habFhsOp2NvshLv26DqMb,https://api.spotify.com/v1/audio-analysis/6habFhsOp2NvshLv26DqMb,229360,4
39,0.699,0.91,4,-4.405,0,0.036,0.217,2.66e-06,0.146,0.792,97.971,audio_features,3bkBVEmRJuJZNh5iVgJkWm,spotify:track:3bkBVEmRJuJZNh5iVgJkWm,https://api.spotify.com/v1/tracks/3bkBVEmRJuJZNh5iVgJkWm,https://api.spotify.com/v1/audio-analysis/3bkBVEmRJuJZNh5iVgJkWm,239920,4
40,0.83,0.517,6,-6.416,0,0.333,0.399,8.95e-05,0.0916,0.616,171.959,audio_features,2dNhNlpZAtV4lwAFW45LIv,spotify:track:2dNhNlpZAtV4lwAFW45LIv,https://api.spotify.com/v1/tracks/2dNhNlpZAtV4lwAFW45LIv,https://api.spotify.com/v1/audio-analysis/2dNhNlpZAtV4lwAFW45LIv,182496,4
41,0.75,0.665,8,-3.083,1,0.124,0.265,0.0,0.0515,0.697,95.239,audio_features,3f5lA8nnc4YYF1qf78WpHw,spotify:track:3f5lA8nnc4YYF1qf78WpHw,https://api.spotify.com/v1/tracks/3f5lA8nnc4YYF1qf78WpHw,https://api.spotify.com/v1/audio-analysis/3f5lA8nnc4YYF1qf78WpHw,219357,4
42,0.805,0.792,8,-6.511,0,0.0882,0.544,0.00145,0.11,0.791,94.99,audio_features,09QZbXkrHRww7Epv7qSnL0,spotify:track:09QZbXkrHRww7Epv7qSnL0,https://api.spotify.com/v1/tracks/09QZbXkrHRww7Epv7qSnL0,https://api.spotify.com/v1/audio-analysis/09QZbXkrHRww7Epv7qSnL0,225693,4
43,0.645,0.876,6,-5.609,1,0.0341,0.0418,0.0024,0.0879,0.766,96.01,audio_features,3BYUW3fviY5RZyNzZhnLO1,spotify:track:3BYUW3fviY5RZyNzZhnLO1,https://api.spotify.com/v1/tracks/3BYUW3fviY5RZyNzZhnLO1,https://api.spotify.com/v1/audio-analysis/3BYUW3fviY5RZyNzZhnLO1,190009,4
44,0.815,0.826,5,-5.217,1,0.155,0.283,0.0,0.256,0.737,95.031,audio_features,4HNlRF6Nux7jU68kTpX7CP,spotify:track:4HNlRF6Nux7jU68kTpX7CP,https://api.spotify.com/v1/tracks/4HNlRF6Nux7jU68kTpX7CP,https://api.spotify.com/v1/audio-analysis/4HNlRF6Nux7jU68kTpX7CP,183053,4
45,0.81,0.808,7,-3.883,0,0.0855,0.0577,0.0,0.157,0.707,90.096,audio_features,3U73C3VYVAeMjvxOizh5Ad,spotify:track:3U73C3VYVAeMjvxOizh5Ad,https://api.spotify.com/v1/tracks/3U73C3VYVAeMjvxOizh5Ad,https://api.spotify.com/v1/audio-analysis/3U73C3VYVAeMjvxOizh5Ad,173227,4
46,0.785,0.792,9,-4.695,0,0.0641,0.0104,0.0,0.104,0.528,155.036,audio_features,0uIfrUwwg0Z7KTitul7E3T,spotify:track:0uIfrUwwg0Z7KTitul7E3T,https://api.spotify.com/v1/tracks/0uIfrUwwg0Z7KTitul7E3T,https://api.spotify.com/v1/audio-analysis/0uIfrUwwg0Z7KTitul7E3T,249600,4
47,0.773,0.755,9,-7.867,0,0.135,0.281,2.07e-05,0.0941,0.603,88.018,audio_features,0WdtoSPuxXXdFzb7VqmbyT,spotify:track:0WdtoSPuxXXdFzb7VqmbyT,https://api.spotify.com/v1/tracks/0WdtoSPuxXXdFzb7VqmbyT,https://api.spotify.com/v1/audio-analysis/0WdtoSPuxXXdFzb7VqmbyT,303907,4
48,0.726,0.784,1,-6.053,1,0.239,0.0607,0.0,0.112,0.651,192.068,audio_features,1hUxy4xuXlzRENHPg5Qqdb,spotify:track:1hUxy4xuXlzRENHPg5Qqdb,https://api.spotify.com/v1/tracks/1hUxy4xuXlzRENHPg5Qqdb,https://api.spotify.com/v1/audio-analysis/1hUxy4xuXlzRENHPg5Qqdb,171147,4
49,0.786,0.811,8,-4.31,1,0.0836,0.122,3.99e-06,0.161,0.731,92.953,audio_features,0j1VxrPkMyFGvz0jZzxUoZ,spotify:track:0j1VxrPkMyFGvz0jZzxUoZ,https://api.spotify.com/v1/tracks/0j1VxrPkMyFGvz0jZzxUoZ,https://api.spotify.com/v1/audio-analysis/0j1VxrPkMyFGvz0jZzxUoZ,168052,4
0,0.829,0.878,9,-5.951,1,0.101,0.0959,0.0,0.776,0.883,87.991,audio_features,1q8NdCAQ9QUjpYiqzdd3mv,spotify:track:1q8NdCAQ9QUjpYiqzdd3mv,https://api.spotify.com/v1/tracks/1q8NdCAQ9QUjpYiqzdd3mv,https://api.spotify.com/v1/audio-analysis/1q8NdCAQ9QUjpYiqzdd3mv,239307,4
1,0.843,0.836,11,-2.474,0,0.0695,0.0816,0.00138,0.0532,0.65,94.018,audio_features,2lCkncy6bIB0LTMT7kvrD1,spotify:track:2lCkncy6bIB0LTMT7kvrD1,https://api.spotify.com/v1/tracks/2lCkncy6bIB0LTMT7kvrD1,https://api.spotify.com/v1/audio-analysis/2lCkncy6bIB0LTMT7kvrD1,205933,4
2,0.815,0.715,4,-4.65,0,0.207,0.3,4.83e-06,0.091,0.786,176.007,audio_features,1mohfLaTJtB2RplHLQVM70,spotify:track:1mohfLaTJtB2RplHLQVM70,https://api.spotify.com/v1/tracks/1mohfLaTJtB2RplHLQVM70,https://api.spotify.com/v1/audio-analysis/1mohfLaTJtB2RplHLQVM70,345241,4
